"gen","log2FC","HR","yon_DE","yon_HR"
"PROX1",-4.32,1.23,"Down","Riskli"
"AL353803.2",-1.58,0.65,"Down","Koruyucu"
"CDKL2",-1.44,0.57,"Down","Koruyucu"
"AJAP1",-1.19,0.75,"Down","Koruyucu"
"TMEM200C",-1,1.47,"Down","Riskli"
"CYP3A7",-0.92,0.66,"Down","Koruyucu"
"SLC2A9",-0.88,0.66,"Down","Koruyucu"
"GREB1L",-0.57,1.24,"Down","Riskli"
"LIMCH1",-0.53,0.56,"Down","Koruyucu"
"VPS37D",-0.51,0.55,"Down","Koruyucu"
"MDGA1",-0.14,1.57,"Down","Riskli"
"PEX5L",0.13,1.31,"Up","Riskli"
"SORBS2",0.29,0.71,"Up","Koruyucu"
"AC095057.3",0.52,1.9,"Up","Riskli"
"LINC00605",0.92,0.76,"Up","Koruyucu"
"AP000894.2",1.1,0.67,"Up","Koruyucu"
"AC138649.2",1.63,1.72,"Up","Riskli"
"CDCA7",2.01,1.61,"Up","Riskli"
"KCNMB2-AS1",2.46,1.58,"Up","Riskli"
"FIRRE",2.62,1.49,"Up","Riskli"
"DLX4",2.67,1.49,"Up","Riskli"
"RGS20",2.86,1.47,"Up","Riskli"
"ANKRD33",3.21,1.4,"Up","Riskli"
"LINC00896",3.25,1.69,"Up","Riskli"
"CHAT",6.07,1.22,"Up","Riskli"
